date,a2c,dji
2023-06-06,1023564.9636049845,978058.3355542725
2023-06-07,1019157.5632753946,980730.8592792504
2023-06-08,1028516.7261324503,985642.2261707269
2023-06-09,1028883.2084475138,986899.9111700227
2023-06-12,1033885.6589632608,992421.7992360577
2023-06-13,1040058.2997713663,996669.0465423109
2023-06-14,1044299.5617037393,989887.3113330255
2023-06-15,1053677.6618471718,1002377.1065825449
2023-06-16,1054101.5025759316,999203.534445343
2023-06-20,1050799.1464510537,992058.9004428298
2023-06-21,1049617.521863041,989077.1901323391
2023-06-22,1057886.4260531045,988937.1059634889
2023-06-23,1049334.2428255654,982548.9947509972
2023-06-26,1046347.1767550089,982178.4715554032
2023-06-27,1055153.3586245156,988355.2616455918
2023-06-28,1051397.085522709,986197.2143847665
2023-06-29,1051037.674786625,994055.9248775601
