date,a2c,ddpg,td3,ppo,sac,dji,nasdaq
2022-06-01,837320.8240010604,922566.6696619418,946666.2544413453,966518.2343338622,1044577.5454963151,955916.5020971658,848328.1865071178
2022-06-02,860007.8854710922,941468.4165644076,964008.1424342042,984813.2834061278,1061512.375536293,968590.4209739799,871619.987621209
2022-06-03,838331.57161306,927108.9026636508,952609.8797922975,971117.492085327,1052945.9284156265,958435.5136013648,848305.8716731999
2022-06-06,844998.5153004989,932494.1520532992,957634.7322703248,976148.7646988524,1056104.617105812,958904.016057219,851794.2479884465
2022-06-07,844376.3394505844,936524.0249323276,967201.3774348146,982462.4065750731,1070505.7781394424,966605.3452295252,859369.341860945
2022-06-08,838136.7074849472,924784.1797327426,959267.4366923219,970045.1540421142,1056420.9697669449,958761.769744414,852842.1208995255
2022-06-09,823386.1738698349,907222.4050592807,939998.9014521486,950270.1796463622,1031541.5868552629,940172.3388047713,829494.862801733
2022-06-10,796429.7391049728,884618.4628748324,910418.2905741578,927420.5606125487,1004055.5702613298,914536.1393258254,799954.3140086652
2022-06-13,763909.5685307846,851309.8545679477,872139.0361796266,893687.6266831054,961544.7510856095,889015.045563201,763143.5527130184
2022-06-14,761436.6180226669,844639.2608484653,871002.9279490358,886474.6883591308,958064.9252952043,884589.5920762658,764723.4825665359
2022-06-15,778330.954551445,856937.8698267367,879578.076951111,896891.5788162841,962811.0429328386,893436.9713415785,783793.3567154941
2022-06-16,747083.4959714279,829445.8866876987,840439.4938593751,870752.4421127929,926265.1422904435,871836.7549451077,752276.0965545698
2022-06-17,752855.025443779,830432.314544144,833455.1964197999,871213.7518204345,917785.1989921037,870721.2593600919,761633.9343924077
2022-06-21,773968.9891164169,850392.2178644565,858572.5613489992,891696.5013168944,941285.0492423478,889408.6126614695,780615.2754280998
2022-06-22,772663.786582695,850124.4025415805,848817.8315440065,892642.4278305663,932031.6636374894,888035.9357429025,779327.4190220755
2022-06-23,785113.750896202,861120.1011652377,846334.7147303468,902938.2422836913,930837.4911826554,893694.2095736548,790818.172065195
2022-06-24,812016.2238156662,886949.7044977573,873405.3195429689,928564.1145065917,958497.4997275773,917679.2138535619,818412.3787910047
2022-06-27,804898.0366895065,883637.8967127231,873796.9329539186,925994.0089310302,960374.6648963395,915860.7938891894,811813.5258923045
2022-06-28,777594.9770848617,864561.8433222201,860092.026635254,907949.2857712401,951208.6032966081,901549.1078652652,786767.9636888797
2022-06-29,778067.0500447616,864284.0625605014,851473.797326172,908645.6045273436,944074.1597312394,903947.2669021052,788153.1999174746
2022-06-30,769251.904021965,861949.9880518344,842231.8111582643,905092.2029770507,937405.787294716,896551.1983170782,777705.5663296884
2022-07-01,782682.6647565231,876167.1835626987,854572.1845789796,917876.8362320556,946912.662218422,905926.7665910978,783246.4452238497
2022-07-05,794998.5207211837,873732.3792414096,851929.7410975343,912966.9077957763,932850.5484412614,902155.9306356908,796376.678357747
2022-07-06,793423.2279012069,875945.6445154574,848800.0469523317,916505.2358292235,936480.1893256608,904191.0770822527,801290.8273158656
2022-07-07,809592.2695348129,887085.9249414828,868417.3202982789,926141.4589279784,951146.8015998307,914296.1413468609,818628.7270476583
2022-07-08,809349.7537762985,885363.9236139682,867194.4126063234,924472.5718582763,948287.8573325578,912944.4030855387,819753.7115741696
2022-07-11,791786.6710507736,875253.6162104037,852816.2876215822,916556.8467301024,942060.7550681535,908157.7008626044,801810.7365380648
2022-07-12,787523.9824902877,871299.2080530551,845941.467499817,911010.9839371337,933545.0387671891,902549.4977339593,794016.5875799463
2022-07-13,792490.6845738754,871033.4287409213,845285.3135004884,908279.6348770751,928713.3705542985,896474.2715111133,792903.8167938931
2022-07-14,791838.396964775,869749.5102381137,838944.1314249879,904737.2507370604,924663.6214240495,892319.4843081833,795599.2242624303
2022-07-15,802735.2539632187,879194.4986566928,853792.0059595949,917824.8946732177,937653.7848990861,911490.9871598236,810149.0901588611
2022-07-18,802864.1533620224,875064.0729669955,857179.4251185304,911030.689427246,935205.1199058,905208.6503055337,802974.8710542604
2022-07-19,824136.7343633041,895601.5999292758,884527.1931162721,932018.989918579,961036.0838111344,927187.0711984901,828118.4072622241
2022-07-20,833635.3576314315,899762.912490311,894791.8291026002,933199.0414322509,966921.8488105241,928579.264311174,840980.8623891067
2022-07-21,849173.9065816269,910477.6427759555,902911.8209849244,945499.0174149169,972594.4875129167,933300.4194331678,853131.4875180525
2022-07-22,846318.1152150497,910976.532927933,897854.6666499025,944055.2282608642,967389.9791282121,929291.5200486506,838059.6657726429
2022-07-25,841525.0197408065,911683.5859217074,902520.6708689576,945983.0829514159,974511.6911719743,931935.2531199169,833458.5186713431
2022-07-26,819718.1273343429,899385.3246759799,885476.3481379396,937623.4086960448,966965.4804557267,925278.5808688496,817131.3224675056
2022-07-27,845215.5044820175,917304.7181085971,909177.8229456788,952763.3816879882,988370.0285666886,937981.6317905261,851918.6300804621
2022-07-28,859394.0313069687,936740.5235590365,922690.0619898683,969402.4192093505,1006695.1713889543,947654.6655538832,859787.8440272333
2022-07-29,884389.1496083603,955785.6509241489,952896.173157776,983562.3023728026,1026224.8700507585,956845.7688094575,875343.6599958737
2022-08-01,889860.4115941391,960305.1067499545,950515.9363947755,984114.369114746,1021150.826570839,955484.4146973898,874857.6191458635
